Id;IdiomText;Defenition
121;let sleeping dogs lie;If you tell someone to  <em>let sleeping dogs lie</em>, you are  asking them not to interfere with a  situation because they could cause problems.<br />
122;let something ride;When you decide to do nothing about a  particular situation and allow it to remain  as it is, you<em> let it ride</em>.<br />
123;lick into shape;If you make an effort to put someone or  something into satisfactory condition or  appearance, you<em>  lick them into shape.<br /> </em>
124;look down your nose;If someone<em>  looks down their nose</em> at a person or  thing, they consider that person or thing as  inferior.<br />
125;make an ass of yourself;If you behave so stupidly that you appear  ridiculous, you <em>make an ass of yourself.</em> <br />
126;make the best of;If you <em>make the  best of things</em>, you react in a positive  way to an unsatisfactory situation that you  cannot change and do the best you can with  it.<br />
127;make an exhibition of yourself;When someone behaves in such a foolish way  in public that they look ridiculous, they <em> make an exhibition of themselves.</em><br />
128;make light of;If you <em>make light of</em> something, you  behave as though it is less serious than it  really is.<br />
129;make light work of;If a person <em> makes light work of </em>something, they do  it very easily or with little effort.<br />
130;make mincemeat of;If you <em>make  mincemeat of</em> someone or something, you  completely and utterly defeat or destroy  them.<br />
131;make a mountain out of a molehill;If someone <em> makes a mountain out of a molehill,</em>  they make a small, unimportant problem seem  much more serious than it is.<br />
132;make no bones about;If you <em>make no bones about something</em>,  you don't hesitate to say what you think in  a frank and open way.<br />
133;make nothing of;If you <em>make nothing of </em>something,  you attach no importance to it.<br />
134;make short work of;If you make <em> short work of </em>something, you do it or  finish it quickly.<br />
135;make someone see reason;If you <em>make someone see reason</em>, you  persuade them to stop acting foolishly and  behave more sensibly.<br />
136;make up for lost time;If you<em> make up for lost time, </em>you  increase your efforts or work harder to  complete something or meet a deadline.<br />
137;mind one's Ps and Qs;If you tell someone to <em>mind their Ps and  Qs</em>, you are advising them to be careful  about how they behave and what they say.<br />
138;out of character;If you do something  that is<em> out of character,</em> it is  unlike your usual behaviour or not what is  expected from you.<br />
139;acid test;To refer to  something as'<em> the acid test</em>' means  that it will prove how effective or useful  something is.<br />
140;(whole) bag of tricks;If you use your (whole) bag of tricks to do  something, you try (all) the clever methods  you know in order to succeed.<br />
141;on the ball;If you are <em>on  the ball</em>, you are aware of what is  happening and are able to deal with things  quickly and intelligently.<br/>
142;to the best of one's ability;When someone does something  <em>to the best of their ability</em>, they  do it as well as they possibly can.<br />
143;boil the ocean;To “boil the ocean” means  to waste time on a task or project that is unnecessary,  not worth doing or impossible to achieve.<br/>
144;take the bull by the horns;To take<em> the bull by the horns</em>  means that a person decides to act  decisively in order to deal with a difficult  situation or problem.<br />
145;can't hold a candle to;If one person <em>can't hold a candle</em>  to another, they are much less competent or  do not perform as well as the other.<br />
146;chase your (own) tail;Someone who is<em>  chasing their (own) tail</em> is spending a  lot of time and energy doing many things but  achieving very little.<br />
147;like clockwork;To say that someone or something goes,  runs or behaves<em> like clockwork</em>  means that everything happens exactly as  expected.<br />
148;cut the ground from under feet;When someone <em> cuts the ground from under another's feet</em>,  they<br/> do something which weakens their  position or spoils their plans.<br />
149;dab hand at something;If you're a <em>dab hand at something</em>,  you're very good at doing it.<br/>
150;deliver the goods;If a person <em> delivers the goods</em>, they do what is  expected of them<br/> or what they have  promised to.<br />
151;do nothing by halves;When a person does everything they are  engaged in completely and thoroughly, they  are said to<em> do nothing by halves.<br /> </em>
152;do the trick;If something <em> does the trick</em>, it does exactly what is  needed, or achieves the desired effect.<br />
154;ring a  bell;If something <em>rings  a bell</em>, it sounds familiar, but you don't  remember the exact details.<br/>
155;drum (sthg) into someone's head;If you teach  something to someone through constant  repetition, you  <em>drum it into their head</em>.<br/>
156;as fit as a  fiddle;A person who is<em>  as fit as a fiddle</em> is in an excellent  state of health or physical condition.<br/>
157;play second  fiddle;If you <em>play  second fiddle</em> to someone, you accept to  be second in importance to that person, or  have a lower position.<br/>
158;fiddling  while Rome burns;If you say that  someone is<em> fiddling while Rome burns</em>,  you mean that they are doing unimportant  things while there are serious matters to be  dealt with.<br/>
159;jazz something up;If you<em> jazz something up,</em> you  add something to try to improve it or make  it more stylish.<br />
160;all that jazz;This expression  means 'all that stuff', 'other similar  things', or 'everything of that kind'.<br/>
161;music to one's ears;To  say that something is  <em>music to your ears</em> means that the  information you receive makes you feel very  happy.<br/>
162;face the  music;When  a person has to  <em>face the music</em>, they have to accept  the unpleasant consequences of their  actions.<br/>
163;strike a false  note;If you <em>strike a  false note</em>, you do something wrong or  inappropriate.<br/>
164;strike (or hit) the right  note;If you <em>strike  (or hit) the right note</em>, you do  something suitable or appropriate.<br/>
165;(sound) like a broken record;Someone who says  the same thing again and again sounds<em>  like a broken record.</em><br/>
166;go for a song;If something<em>  goes for a song</em>, it is sold at an  unexpectedly low price.
167;tickle the ivories;This is a humorous  way of talking about playing the piano.<br/>
168;call the  tune;The person who <em> calls the tune</em> makes all the important  decisions and is in control of the  situation.<br/>
169;sing a different  tune;If someone <em> sings a different tune</em>, they change  their opinion about something or their  attitude towards something.<br/>
170;fine tuning;Small changes to  something to improve it or make it work  better are called fine-tuning.<br/>
171;blow the  whistle;If  you report an illegal or socially-harmful  activity to the authorities, and give  information about those responsible for it,  you  <em>blow the whistle,</em> or you are a <em> whistle-blower</em>.<br/>
172;clean as a whistle;Something<em> as  clean as a whistle</em> is extremely clean.<br /> This can also mean that a person's criminal  record is clean.<br />
173;get on in years;Someone who is<em>  getting on in years</em> is growing old.<br />
174;knee-high to a grasshopper;This term refers to  a very young and therefore small child.<br/>
175;long in the tooth;A person who is <em> long in the tooth</em> is a bit too old to  do something.<br/>
176;mutton dressed as lamb;This expression refers to a middle-aged  woman who tries to look younger by dressing  in clothes designed for younger people.<br />
177;no spring chicken;To say that someone is no<em> spring  chicken</em> means that they are quite old  or well past their youth.<br />
178;over the hill;If a person is <em> over the hill</em>, they have reached an age  when they can no longer perform as well as  before.<br />
179;rob the cradle;If you<em> rob the cradle, </em>you have  a romantic relationship with someone who is  much younger than yourself.<br />
180;silver surfer;A <em>silver surfer </em>is an elderly person who uses the  internet.<br />
181;put years on;If an event or difficult situation <em> puts years on someone, </em>it makes them  look or feel much older.<br />
182;above and beyond the call of duty;If a person does  something which is<em>  above and beyond the call of duty</em>, they  show a greater degree of courage or effort  than is usually required or expected in  their job.<br />
183;back-room boys;This term refers to people who do important  work but have no contact with the public.<br />
184;brain drain;The departure of  highly qualified people (scientists,  engineers, etc.) for other countries, where  they have better opportunities and usually  better pay, is called<em> the brain drain.</em>
185;busman's holiday;A <em>busman's holiday</em> is when you  spend your spare time or your holidays doing  the same sort of activity as you do in your  job.<br />
186;cream of the crop;This expression refers to the best  people or things in a particular group.<br />
187;dead wood;The term <em>dead wood </em>refers to  people or things which are no longer  considered useful or necessary.<br />
188;on the dole;A person who receives financial  assistance from the government when they are  unemployed is <em>on the dole.</em><br />
189;dream ticket;If you refer to two people as a<em>  dream ticket</em>, you think they would work  well together and be successful.<br />
190;duty bound;If you are <em>duty bound</em> to do  something, you are required to do it<br/> as  part of your obligations.<br />
191;earn while you learn;This expression refers to the  possibility of earning a salary while in  training.<br />
192;firing line;Someone who is in the<em> firing line</em>  is in a position to be criticized because of  their responsibilities or the position they  hold.<br />
193;get the axe;If someone<em> gets the axe</em>, they  lose their job.<br />
194;golden handcuffs;The term <em>golden  handcuffs</em> refers to a large sum of  money or a generous financial arrangement  granted to an executive as an incentive to  stay in their job, or to ensure long-term  cooperation after their departure.
195;above board;If business negotiations are described as<em>  above board</em>, they are open, honest and  legal.<br />
196;have an ace up your sleeve;If you <em>have an  ace up your sleeve</em>, you have something  in reserve with which you can gain an  advantage.<br /> .
197;hold all the aces;A person or company  who <em>holds all the aces</em> is in a very  strong position because they have more  advantages than anyone else.<br />
198;back to square one;To say that someone is <em>back to  square one</em> means that they have not  succeeded in what they were trying to do, so  they have to start again.<br />
199;back to the wall;If you have your <em>back to the wall</em>,  you are in serious difficulty.<br />
200;beggars can't be choosers;This expression means that you should  not reject an offer if it is the only  possibility you have. You have no choice.<br />
201;bend over backwards;If you <em>bend over backwards</em>, you  try very hard to do something, especially to  please somebody.<br />
202;blank cheque;If you give someone a<em> blank cheque</em>,  you authorize them to do what they think is  best in a difficult situation.<br />
203;bone of contention;A<em> bone of contention</em> is a  matter or subject about which there is<br/>  a lot of disagreement.<br />
204;bring nothing to the table;If you participate in negotiations and<em>  bring nothing to the table</em>, you have  nothing of interest to offer the other side.<br />
205;clinch a deal;In a business relationship, if you <em> clinch a deal</em>, you reach agreement on a  proposal or offer.<br />
206;in black and white;To say that  something is<em> in black and white </em> means that there is written proof of it.<br/>
207;a done deal;This expression is  used to refer to an agreement or decision  which has been reached on a certain matter<br/>
208;gentleman's agreement;When an agreement  is neither written nor signed, because the  two parties trust each other completely, it  is called a  <em>gentleman's agreement.</em><br/>
209;a matter of form;If you do something  out of politeness, or because it is accepted  practice or the usual way of doing  something, you do it as a matter of form.<br/>
210;sign on the dotted line;If you<em> sign on  the dotted line</em>, you formally give your  consent to something by signing an official  document.<br/>
211;signed, sealed and delivered;When an agreement,  contract or treaty is  <em>signed, sealed and delivererd,</em> all  the legal documents have been signed.<br/>
212;square deal;A transation that  is fair and honest, or an equitable  arrangement, is called a<em> square deal.<br /> </em>
213;no strings attached;If something is  offered or obtained with<em> no strings  attached</em>, it comes without any special  conditions or restrictions.<br/>
214;with one voice;Two or more groups or organizations who  are in complete agreement are said to speak <em>with one voice.</em><br />
215;ants in one's pants;People who have<em>  ants in their pants</em> are very restless  or excited about something.
216;with bells on;If you go somewhere<em>  with bells on</em>, you are delighted and  eager to go there.<br />
217;bounce off the walls;Someone who is very excited about something,  or full of nervous energy, is said to be<em>  bouncing off the walls.</em><br />
218;bright-eyed and bushy-tailed;A person who is  <em>bright-eyed and bushy-tailed</em> is  very enthusiastic and full of energy.<br /> .
219;cause a stir;If something <em> causes a stir</em>, it creates an atmosphere  of excitement or great interest.<br />
220;champ at the bit;Someone who is<em>  champing at the bit</em> is ready and eager  to start an activity, and is showing  impatience at being delayed.<br />
221;dial it back;If you<em> dial it back</em>, you reduce  the intensity of something, or tone<br/> it  down.<br />
222;eager beaver;The term<em> eager beaver</em> refers to  a person who is hardworking and  enthusiastic, sometimes considered  overzealous.<br/>
223;eat, sleep and breathe something;If you <em>eat, sleep and breathe</em>  something, you are so enthusiastic and  passionate about it that you think about it  constantly.<br />
224;edge of one's seat;Someone who is <em> on the edge of their seat </em>is very  interested in something and finds it both  extremely exciting and nerve-wracking.<br />
225;fever pitch;If a situation or feeling reaches<em>  fever pitch,</em> it becomes very intense  and exciting.<br />
226;fling yourself into;If you<em> fling yourself into</em> an  activity, you do it with a lot of energy and  enthusiasm.<br />
227;go the extra mile;If you <em>go the extra mile,</em> you  do more than what is expected of you.<br />
228;hold your horses;If you tell someone to <em>hold their  horses</em>, you think they are doing  something too fast and should slow down and  not rush into further action.<br />
229;lick/smack your lips;A  person who is<em> licking (</em>or <em> smacking) their lips</em> is showing that  they are excited about something and are  eager for it to happen.<br />
230;put your heart (and soul) into;If you <em>put your heart (and soul)  into something</em>, you are very  enthusiastic and invest a lot of energy and  hard work in it.<br />
231;raring to go;If someone is<em>  raring to go</em>, they are very eager and  enthusiastic about the idea of doing  something.<br />
232;run out of steam;If you say that a  person, a process or an organized event is <em>running out of steam,</em> you mean that  there is a loss of impetus, energy or  enthusiasm.<br />
233;all told;<em> All told</em> means the final number, when  everything has been counted.<br />
234;ballpark figure;If someone gives a <em>ballpark figure</em>, they give an  approximate number or a rough estimate of  the cost of something.<br />
235;in dribs and drabs;If something comes  in <em>dribs and drabs,</em> it arrives  little by little, in small amounts or  numbers.<br /> I
236;have one over the eight;If a person has had one <em>over the  eight,</em> they are slightly drunk.<br />
237;at the eleventh hour;If something happens <em>at the eleventh  hour</em>, it happens when it is almost too  late, or at the last possible moment.<br />
238;fifth wheel;This expression refers to a person who  find themselves in a situation where their  presence is unnecessary and as a result they  feel useless.<br />
239;first and foremost;This expression is  used to state what you consider to be more  important than anything else.<br />
240;first base;When you<em> get to  (or reach) first base</em>, you make  progress or begin to have success with  someone or something.<br />
241;first come first served;This expression  means that there will be no favouritism or  preferential treatment. People will be  served strictly in the order they arrive.<br />
242;(at) first hand;If you experience  something yourself directly, without any  intermediary, you experience it<em> (at)  first hand.</em><br />
243;first out of the gate;If  you are<em> first out of the gate,</em> you  are the first to make a start at something  that others have also accepted to do.<br />
244;in the first place;Something that is done<em> in the first  place</em> is done at the beginning, before  anything else.<br />
245;first water;Something that is<em>  of the first water </em>is of the finest or  most exceptional quality (like being  compared to a diamond).<br />
246;five finger discount;"If somebody gets a<em>  five-finger discount</em>, they take  something without paying.&nbsp; In other words,  they steal.<br />"
247;five o'clock shadow;This expression  refers to a patch of stubble on the face of  a man who hasn't shaved for at least a day.<br />
248;at all costs;If  you are determined to obtain or achieve  something<em> at all costs</em>, you want it  regardless of the expense, effort or  sacrifice involved.<br />
249;avowed intent;When someone makes a public declaration of  their objective or goal, this is their<em>  avowed intent</em>.<br/>
250;beard the lion in his den;If you visit someone important in the  place where they work, in order to challenge  him/her or obtain something,  <em>you beard the lion in his den.</em><br/>
251;bee in one's bonnet;Someone who has a <em>bee in their bonnet</em> has an idea  which constantly occupies their thoughts.<br />
252;beyond wildest dreams;If something is<em> beyond your wildest  dreams</em>, it is better than you imagined  or hoped for.<br />
253;blood, sweat and tears;A project or action which involves <em> blood,</em> <em>sweat and tears</em>  requires a lot of effort and hard work.<br />
254;have on the brain;If you <em>have something on the brain</em>,  you think or talk abut it all constantly.<br />
255;buckle down;If you <em>buckle down</em>, you apply  yourself with determination to hard work and  give it hour full attention.<br />
256;dig in your heels;"If you <em>dig in&nbsp;your heels,</em> you  refuse to do something, especially if  someone is trying to convince you to do so.<br />"
257;explore all avenues;If you <em>explore all avenues</em>, you  try out every possibility in order to obtain  a result or find a solution.<br />
258;bare your heart (or soul) to someone;If you <em>bare you  heart</em> (or  <em>soul</em>) to someone, you reveal your  innermost thoughts and feelings to them.<br/>
259;bear the brunt;A person who <em>bears the brunt</em> of  something is the one who suffers the most  when something bad or unpleasant happens.<br/>
260;bent out of shape;If you get <em>bent  out of shape</em>, you become annoyed or  upset about something that is usually not  that important or cannot be avoided.<br />
261;beside yourself (with emotion);If you are <em> beside yourself</em> (with an emotion), you  lose your self-control because of the  intensity of the emotion you are feeling.<br />
262;"bored to tears
 (also: to  distraction/to death/silly)";If you find something so dull and  uninteresting that it makes you sad enough  to cry, you are<em>  bored to tears</em>.<br />
263;carry the torch for;If you <em>carry the torch</em>, you  have strong feelings for someone with whom  you do not or cannot have a relationship.<br />
264;wouldn't be caught/seen dead;If someone says that they <em>wouldn't  be caught or seen dead</em> in a particular  place or doing something, they mean that  they would be too ashamed or embarrassed.<br />
265;cheesed off;If someone is <em> cheesed off</em> with something, they are  annoyed, bored or frustrated.<br />
266;chip on your shoulder;If someone has a <em>chip on their shoulder</em>, the feel  resentful because they feel they are being  treated unfairly, especially because of  their background, their sex or their colour.<br />
267;close to home;If a remark or comment is<em> close to  home</em>, it is so true, or it affects you  so directly, that you feel uncomfortable.<br />
268;cork up something;If you <em>cork up</em>  your feelings or emotions, you fail to show  or express them.<br />
269;cut to the quick;If you <em>cut someone to the quick</em>,  you hurt their feelings or offend them  deeply.<br />
